Speaker,Vowel,Context,F150_lob,F250_lob,F180_lob,F280_lob
ES_2021,UW,BOOING,-0.935,-0.57,-0.797,-0.87
ES_2021,IY,FIFTEEN,0.018,1.248,0.364,1.352
ES_2021,AH,SHUDDER,1.996,-0.445,1.02,-0.378
ES_2021,AO,ROARING,-0.072,-1.431,-0.136,-1.335
ES_2021,AO,DRAW,-0.312,-1.399,-1.006,-1.027
ES_2021,IH,IT,0.166,0.31,-0.42,0.467
ES_2021,EH,MARY,0.308,1.15,0.821,0.231
ES_2021,IH,IT,-0.45,0.551,-0.562,0.494
ES_2021,IH,FEAR,-0.717,1.076,-0.369,0.166
ES_2021,IH,IT,0.128,0.452,0.093,0.538
ES_2021,EH,MERRY,1.092,0.835,0.765,0.156
ES_2021,ER,THIRTEEN,-0.008,0.019,-0.545,0.565
ES_2021,IY,SEE,-0.729,1.505,-0.544,1.333
ES_2021,AH,SHUTTER,2.071,-0.523,1.862,-0.573
ES_2021,AO,FOURTEEN,-0.426,-1.591,-0.173,-1.416
ES_2021,IY,FOURTEEN,-1.334,1.686,-1.391,1.694
ES_2021,AH,GULF,1.238,-0.944,0.235,-1.171
ES_2021,IH,HID,-0.345,1.383,-0.419,1.127
ES_2021,IH,IT,-0.472,0.828,-0.505,0.635
ES_2021,AE,DANCE,1.413,0.506,1.509,0.435
ES_2021,EY,PAYING,0.476,-0.684,-0.833,0.112
ES_2021,AO,PAWING,-0.582,-1.746,-0.491,-1.201
ES_2021,IY,BEING,-0.678,1.525,-0.424,1.621
ES_2021,OW,ROSA'S,-0.561,-0.139,-0.778,0.31
ES_2021,IH,FEARING,-0.586,1.543,-1.005,0.786
ES_2021,OW,BOWING,0.242,-1.359,-0.935,-1.127
ES_2021,AO,POURING,0.122,-1.553,0.494,-1.204
ES_2021,AO,BORING,-0.246,-1.62,0.303,-1.248
ES_2021,UH,CURING,-0.565,0.094,-0.464,0.05
ES_2021,EH,PARING,0.544,0.791,0.521,0.135
ES_2021,EY,CHANGE,0.85,1.429,-0.855,1.385
ES_2021,IH,MILLION,-0.163,0.612,-0.239,-0.057
ES_2021,AE,PADDLE,2.195,-0.137,1.585,-0.041
ES_2021,AE,DABBLE,2.487,-0.298,0.331,-0.859
ES_2021,AE,HAGGLE,2.374,-0.094,1.342,-0.18
ES_2021,AE,GAVEL,2.963,-0.071,1.873,-0.47
